latitude,longitude,datetime,temperature_C
45.4371908,12.3345898,2025-08-16 00:00:00,25.5
45.4371908,12.3345898,2025-08-16 01:00:00,25.1
45.4371908,12.3345898,2025-08-16 02:00:00,24.9
45.4371908,12.3345898,2025-08-16 03:00:00,24.9
45.4371908,12.3345898,2025-08-16 04:00:00,24.7
45.4371908,12.3345898,2025-08-16 05:00:00,24.6
45.4371908,12.3345898,2025-08-16 06:00:00,25.6
45.4371908,12.3345898,2025-08-16 07:00:00,26.9
45.4371908,12.3345898,2025-08-16 08:00:00,28.7
45.4371908,12.3345898,2025-08-16 09:00:00,30.4
45.4371908,12.3345898,2025-08-16 10:00:00,31.8
45.4371908,12.3345898,2025-08-16 11:00:00,33.2
45.4371908,12.3345898,2025-08-16 12:00:00,34.2
45.4371908,12.3345898,2025-08-16 13:00:00,34.7
45.4371908,12.3345898,2025-08-16 14:00:00,33.6
45.4371908,12.3345898,2025-08-16 15:00:00,33.9
45.4371908,12.3345898,2025-08-16 16:00:00,33.4
45.4371908,12.3345898,2025-08-16 17:00:00,32.1
45.4371908,12.3345898,2025-08-16 18:00:00,30.2
45.4371908,12.3345898,2025-08-16 19:00:00,29.3
45.4371908,12.3345898,2025-08-16 20:00:00,28.5
45.4371908,12.3345898,2025-08-16 21:00:00,27.9
45.4371908,12.3345898,2025-08-16 22:00:00,27.4
45.4371908,12.3345898,2025-08-16 23:00:00,26.7
45.4371908,12.3345898,2025-08-17 00:00:00,26.2
45.4371908,12.3345898,2025-08-17 01:00:00,25.6
45.4371908,12.3345898,2025-08-17 02:00:00,25.4
45.4371908,12.3345898,2025-08-17 03:00:00,25.1
45.4371908,12.3345898,2025-08-17 04:00:00,24.9
45.4371908,12.3345898,2025-08-17 05:00:00,24.9
45.4371908,12.3345898,2025-08-17 06:00:00,25.3
45.4371908,12.3345898,2025-08-17 07:00:00,26.0
45.4371908,12.3345898,2025-08-17 08:00:00,27.6
45.4371908,12.3345898,2025-08-17 09:00:00,29.4
45.4371908,12.3345898,2025-08-17 10:00:00,30.4
45.4371908,12.3345898,2025-08-17 11:00:00,30.9
45.4371908,12.3345898,2025-08-17 12:00:00,30.7
45.4371908,12.3345898,2025-08-17 13:00:00,31.4
45.4371908,12.3345898,2025-08-17 14:00:00,31.6
45.4371908,12.3345898,2025-08-17 15:00:00,31.4
45.4371908,12.3345898,2025-08-17 16:00:00,30.7
45.4371908,12.3345898,2025-08-17 17:00:00,29.8
45.4371908,12.3345898,2025-08-17 18:00:00,28.9
45.4371908,12.3345898,2025-08-17 19:00:00,28.1
45.4371908,12.3345898,2025-08-17 20:00:00,27.3
45.4371908,12.3345898,2025-08-17 21:00:00,26.5
45.4371908,12.3345898,2025-08-17 22:00:00,25.9
45.4371908,12.3345898,2025-08-17 23:00:00,25.3
45.4371908,12.3345898,2025-08-18 00:00:00,24.7
45.4371908,12.3345898,2025-08-18 01:00:00,24.2
45.4371908,12.3345898,2025-08-18 02:00:00,23.7
45.4371908,12.3345898,2025-08-18 03:00:00,23.3
45.4371908,12.3345898,2025-08-18 04:00:00,23.0
45.4371908,12.3345898,2025-08-18 05:00:00,22.8
45.4371908,12.3345898,2025-08-18 06:00:00,23.0
45.4371908,12.3345898,2025-08-18 07:00:00,24.1
45.4371908,12.3345898,2025-08-18 08:00:00,25.6
45.4371908,12.3345898,2025-08-18 09:00:00,26.9
45.4371908,12.3345898,2025-08-18 10:00:00,27.8
45.4371908,12.3345898,2025-08-18 11:00:00,28.4
45.4371908,12.3345898,2025-08-18 12:00:00,28.9
45.4371908,12.3345898,2025-08-18 13:00:00,29.1
45.4371908,12.3345898,2025-08-18 14:00:00,29.2
45.4371908,12.3345898,2025-08-18 15:00:00,29.0
45.4371908,12.3345898,2025-08-18 16:00:00,28.5
45.4371908,12.3345898,2025-08-18 17:00:00,27.7
45.4371908,12.3345898,2025-08-18 18:00:00,27.0
45.4371908,12.3345898,2025-08-18 19:00:00,26.4
45.4371908,12.3345898,2025-08-18 20:00:00,25.7
45.4371908,12.3345898,2025-08-18 21:00:00,25.1
45.4371908,12.3345898,2025-08-18 22:00:00,24.2
45.4371908,12.3345898,2025-08-18 23:00:00,23.3
45.4371908,12.3345898,2025-08-19 00:00:00,22.6
45.4371908,12.3345898,2025-08-19 01:00:00,22.0
45.4371908,12.3345898,2025-08-19 02:00:00,21.6
45.4371908,12.3345898,2025-08-19 03:00:00,21.4
45.4371908,12.3345898,2025-08-19 04:00:00,21.4
45.4371908,12.3345898,2025-08-19 05:00:00,21.6
45.4371908,12.3345898,2025-08-19 06:00:00,22.2
45.4371908,12.3345898,2025-08-19 07:00:00,23.8
45.4371908,12.3345898,2025-08-19 08:00:00,25.8
45.4371908,12.3345898,2025-08-19 09:00:00,27.5
45.4371908,12.3345898,2025-08-19 10:00:00,28.3
45.4371908,12.3345898,2025-08-19 11:00:00,28.7
45.4371908,12.3345898,2025-08-19 12:00:00,28.9
45.4371908,12.3345898,2025-08-19 13:00:00,28.9
45.4371908,12.3345898,2025-08-19 14:00:00,28.8
45.4371908,12.3345898,2025-08-19 15:00:00,28.3
45.4371908,12.3345898,2025-08-19 16:00:00,27.3
45.4371908,12.3345898,2025-08-19 17:00:00,25.9
45.4371908,12.3345898,2025-08-19 18:00:00,24.6
45.4371908,12.3345898,2025-08-19 19:00:00,23.6
45.4371908,12.3345898,2025-08-19 20:00:00,22.8
45.4371908,12.3345898,2025-08-19 21:00:00,22.0
45.4371908,12.3345898,2025-08-19 22:00:00,21.3
45.4371908,12.3345898,2025-08-19 23:00:00,20.7
45.4371908,12.3345898,2025-08-20 00:00:00,20.2
